RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,Flourishing,PANAS_PA,PANAS_NA,SHS,Loneliness,SCS,Stress,Homesick,Engagement
109,Control,18,First,no,1,post,6.375,2.4,1.2,5,2.2,4.45,2,1,3
110,Direct,19,Second,no,1,pre,5.125,3,1.6,3,1.5,4.55,3,4,3
110,Direct,19,Second,no,1,post,5.5,2.2,1.2,3.3333333333333335,1.55,4.9,2,4,3
111,Indirect,18,First,no,1,pre,5.125,3.2,3.4,2,3.2,2.9,2,4,3
111,Indirect,18,First,no,1,post,4.875,2.8,3.4,2,3.15,3.1052631578947367,2,3,2
112,Control,19,Second,NA,5,pre,6.375,3.6,1.4,4.666666666666667,1.3,5.75,2,1,4
112,Control,19,Second,NA,5,post,6.25,3.6,1,4.666666666666667,1.45,5.45,3,4,5
113,Direct,19,Second,yes,1,pre,5.125,3.2,1.4,3.3333333333333335,2.55,3.6,3,5,2
113,Direct,19,Second,yes,1,post,5.625,3.2,1,3,2.35,3.9,2,5,2
114,Indirect,20,First,yes,1,pre,6.125,3.4,1.2,3.6666666666666665,1.45,5.4,3,5,3
114,Indirect,20,First,yes,1,post,6.125,3.4,1,3.6666666666666665,1.4,5.3,2,5,2
115,Control,18,First,no,1,pre,6.5,3.4,1.4,4.333333333333333,1.35,5.55,1,3,3
115,Control,18,First,no,1,post,6.5,3.6,1.4,4.333333333333333,1.15,3,1,4,3
116,Direct,19,Second,yes,1,pre,5.125,3.2,2.8,3,2.4,4.15,3,5,2
116,Direct,19,Second,yes,1,post,4.875,3,2,3.6666666666666665,2.4,4.15,2,5,2
117,Indirect,21,Second,no,1,pre,6,4,2,3.6666666666666665,1.9,5.1,3,4,5
117,Indirect,21,Second,no,1,post,NA,3,1.6,3.6666666666666665,2.2,5,3,4,4
118,Control,20,Second,no,1,pre,6,4,1.8,3,1.75,4.85,2,4,5
118,Control,20,Second,no,1,post,5.875,3,1.8,3,2.05,4.65,2,3,4
119,Direct,19,Second,yes,1,pre,5.75,3.6,2.4,4,1.9,4.7,4,5,3
119,Direct,19,Second,yes,1,post,5.375,3.4,2,4,1.9,4.65,3,5,3
120,Indirect,19,First,no,1,pre,5.75,4.6,2.8,2.6666666666666665,2.45,3.5,4,3,2
120,Indirect,19,First,no,1,post,6.125,4.6,2,3,2.45,4.05,2,4,2
121,Control,18,First,no,1,pre,7,3.6,1.6,3.6666666666666665,1.75,5.2,2,4,4
121,Control,18,First,no,1,post,6.875,3,1,4.333333333333333,1.55,5.6,1,5,1
122,Direct,18,First,no,1,pre,6.25,4,1.2,4.333333333333333,1.2,5.3,3,4,4
122,Direct,18,First,no,1,post,6.25,4,1,4.666666666666667,1.15,5.6,1,4,4
123,Indirect,18,First,yes,1,pre,5.375,3,1.8,3.6666666666666665,1.7,4.45,3,5,3
123,Indirect,18,First,yes,1,post,5.875,3.2,1.2,4,1.45,4.85,2,5,4
124,Control,18,Second,no,4,pre,6.5,4,2.2,1.3333333333333333,2.3,4.4,5,2,3
124,Control,18,Second,no,4,post,6.125,4.4,2.8,1.6666666666666667,2.15,4.3,3,1,4
125,Direct,19,Second,no,2,pre,5.5,3.2,1.8,4,2,4.5,2,3,3
125,Direct,19,Second,no,2,post,5.875,3.4,1.2,4,1.95,4.55,1,4,3
126,Indirect,18,First,yes,1,pre,5.75,3.8,2.2,4.333333333333333,1.7894736842105263,4.8,4,5,5
126,Indirect,18,First,yes,1,post,6,3.6,1.8,4.333333333333333,1.8,5,3,5,4
127,Control,18,First,no,1,pre,6,2.6,1.4,4.666666666666667,1.65,5.35,4,5,4
127,Control,18,First,no,1,post,5.875,2.2,1,4.333333333333333,1.65,5.45,4,5,4
128,Direct,21,Fourth,no,1,pre,6.375,3,1.6,3.3333333333333335,1.4,5.2,3,4,5
