Serial,Watch_wk,Watch_we,Comp_wk,Comp_we,Comph_wk,Comph_we,Smart_wk,Smart_we
1000358,4,3,0,0,1,0.5,2,2
1000359,3,4,0,0,1,0.5,1,1
1000360,2,1,0,0,0.5,0.5,2,3
1000361,0.5,2,0,0,0,0.5,0.5,0.5
1000362,0,0.5,0,3,2,2,1,1
1000363,2,5,0,0,1,1,0.5,1
1000364,7,7,0.5,3,0,0.5,7,7
1000365,2,3,0,0.5,0,0,2,3
1000366,0.5,2,0,0,2,3,3,4
1000367,1,3,0,0,0,0,6,7
1000369,3,5,3,5,5,5,3,5
1000370,5,6,0,0,5,6,3,5
1000371,2,4,0,0,0.5,0,3,5
1000372,1,2,0,0,3,4,5,7
1000373,3,5,0,0,2,4,0.5,2
1000374,4,7,0,0,1,3,3,6
1000375,7,7,0,0,5,6,7,7
1000376,1,2,0.5,1,0.5,0.5,4,5
1000377,2,2,0,0,0.5,0.5,2,7
1000378,4,5,0,0,2,4,7,7
1000379,3,3,2,2,3,4,1,2
1000380,1,2,0,0,0.5,0.5,4,5
1000381,3,2,0,0,4,5,0,0
1000382,0,2,0,0,0,1,4,7
1000383,4,0.5,0.5,0,5,7,7,7
1000384,5,7,0.5,0,0.5,0,5,7
1000385,4,5,0,0,0.5,0,7,7
1000386,1,3,0,0.5,0.5,0.5,2,2
1000387,3,5,0,0,7,7,7,7
1000388,3,5,0,1,1,1,0.5,0.5
1000389,4,3,0,0,1,0.5,5,6
1000390,2,4,0,0.5,1,1,4,6
1000391,2,2,0,0,1,1,5,5
1000392,4,5,0,0,1,1,7,7
1000393,0,0,1,2,0,0,0,0
1000394,3,4,0,0,3,3,1,2
1000395,1,2,0,0,0,0,3,5
1000397,0.5,0,0,0,0,0,4,5
1000398,2,4,0,0,2,2,7,7
1000399,6,7,4,5,6,7,4,1
1000400,2,6,0,0,2,3,3,4
1000401,5,5,0,0,0,0,2,3
1000402,4,6,0,0,2,3,3,5
1000403,1,3,0,0,3,5,1,2
1000404,3,3,0,0,0.5,0,2,2
1000405,0.5,1,0,0,0.5,0,3,5
1000406,3,5,0,0,0,0,5,5
1000407,3,4,0,0,0.5,1,2,3
1000408,2,5,0,0,2,3,3,5
1000409,0,2,0,0,5,5,2,3
1000411,3,7,0,0,2,5,7,7
1000412,1,4,0,0,0,0,2,3
1000413,0.5,4,4,4,3,4,5,5
1000414,0.5,2,0,0,0,0,4,6
1000416,0,2,0,0,1,3,3,4
1000417,4,2,0.5,0,0.5,0,7,7
1000418,5,7,0,1,2,4,4,6
1000419,4,4,0,0,0,0,5,5
1000420,2,4,0,0,0.5,1,1,1
1000421,0.5,2,0,0,1,3,1,2
1000422,0.5,0.5,0,0,0.5,0.5,7,7
1000424,4,7,0,0,4,7,4,5
1000425,5,7,0,0,2,3,3,4
1000426,4,4,0,0,2,1,0,0
1000427,4,6,1,2,1,2,4,6
1000428,5,3,0,0,0,0,7,6
1000429,5,6,0,1,3,4,6,7
1000430,2,2,0,0,1,1,2,2
1000431,0.5,2,0,0,5,5,7,7
1000432,2,3,0,0,5,5,5,5
1000433,6,7,0,0,0.5,0,6,7
1000434,5,7,1,1,1,1,4,6
1000435,2,2,0.5,1,1,0.5,0.5,0.5
1000436,4,5,0,0,3,2,7,7
1000437,2,2,0,0,1,2,7,7
1000438,4,6,0,0,0.5,0.5,3,5
1000439,0,1,0,0,2,3,0,0
1000440,1,3,0,0,0,0.5,0.5,3
1000441,3,4,0,0,1,3,2,3
1000442,1,3,0,0,0.5,0.5,2,3
1000445,3,4,0,0,2,2,4,5
1000446,2,1,0,0,0.5,0.5,0,0
1000447,2,4,0,0,0.5,2,0,0
1000448,1,1,0,0.5,1,1,4,7
1000449,2,3,0,0,0,0,7,7
1000450,1,2,0,0,0,2,0,0.5
1000451,2,5,0.5,0.5,0,0,6,7
1000452,3,2,0,0.5,1,1,4,3
1000453,2,3,0,0,0,0,3,5
1000454,2,4,0.5,0.5,5,6,4,6
1000455,2,4,0,0,2,4,5,7
1000456,0.5,2,0,0,1,2,3,4
1000457,3,3,0,0.5,0,0,0,0
1000458,2,3,0,0,3,5,7,7
1000459,1,3,0,0.5,4,7,0,0
1000460,3,4,0.5,0,7,7,6,7
1000461,2,3,0,0,3,5,1,2
1000462,4,6,0,0,5,6,5,7
1000463,0.5,2,0.5,1,1,1,2,2
1000464,0.5,2,0,0,0.5,0.5,0.5,2
