StudentIDE,MA1E,MA2E,MA3E,MA4E,MA5E,MA6E,MA7E,MA8E,QANX1E,QANX2E,QANX3E,QANX4E,QINFL1E,QINFL2E,QINFL3E,QINFL4E,QINFL5E,QINFL6E,QINFL7E,QSF1E,QSF2E,QSF3E,QSF4E,QHIND1E,QHIND2E,QHIND3E,QHIND4E,QHIND5E,QSC1E,QSC2E,QSC3E,QSC4E,QSE1E,QSE2E,QSE3E,QSE4E,QSE5E,QSE6E,SPSS1E,SPSS2E,SPSS3E,SPSS4E,SPSS5E,SPSS6E,SPSS7E,SPSS8E,SPSS9E,SPSS10E,Mean_MA,Mean_QANX,Mean_QINFL,Mean_QSF,Mean_QHIND,Mean_QSC,Mean_QSE,Mean_SPSS,GenderE,RaceEthE,RaceEthE_tidy,GradeE,GradeE_tidy,StuStaE,GPAE,MajorE,MajorE_tidy,AgeE
11,1,5,2,3,4,1,1,3,5,4,3,3,1,3,1,2,3,3,3,5,5,4,1,4,3,3,3,2,3,3,3,1,3,3,3,1,3,3,2,2,3,2,3,2,2,3,2,2,2.75,3.75,2.285714286,3.75,3,2.5,2.666666667,2.7,1,3,White,B,B,Senior,3,Health Sciences,Health Studies,22
12,1,5,5,1,3,1,2,2,5,5,5,5,3,3,3,4,5,3,5,5,5,5,5,4,3,5,4,3,2,5,5,1,3,2,2,2,1,3,4,1,2,3,4,4,4,4,3,2,1.75,5,3.714285714,5,3.8,1.25,2.166666667,3.9,1,3,White,A,A,senior,2.5,Pre-Med/Health Sciences,Double Major,22
13,4,2,4,4,2,3,3,1,3,2,2,2,1,3,3,4,4,2,4,5,5,5,5,4,4,4,3,3,4,2,2,4,1,3,4,2,4,4,3,3,3,2,2,3,3,2,3,4,2.875,2.25,3,5,3.6,4,3,2.6,1,3,White,1,A,3,3,1,Psychology,20
14,5,3,3,3,4,1,3,3,3,3,3,4,2,3,2,3,3,3,3,2,3,2,4,3,3,3,3,3,3,3,1,1,5,5,5,5,5,5,2,1,1,3,3,3,1,1,4,4,3.125,3.25,2.714285714,2.75,3,3,5,2.9,1,5,Asian/Pacific Islander,2,B,4,2.5,2,Health Studies,22
15,3,4,3,3,3,4,1,3,2,3,1,1,2,4,4,3,3,4,4,5,5,5,5,1,1,1,1,1,2,1,1,3,4,3,4,3,5,4,4,2,2,4,5,4,5,4,3,1,3.25,1.75,3.428571429,5,1,3.75,3.833333333,4.2,2,3,White,1,A,4,,,,
16,2,3,2,3,3,3,5,1,3,1,2,3,1,1,1,5,5,4,4,5,5,5,4,4,3,4,3,4,3,2,2,3,1,5,5,5,4,4,3,4,3,3,3,3,2,3,3,3,2.5,2.25,3,4.75,3.6,3.5,4,2.8,2,2,Hispanic/Other Latinx,A,A,Senior,3,Health Studies,Health Studies,21
17,3,5,4,2,4,1,4,3,3,5,5,5,3,3,3,5,5,3,5,5,5,5,5,4,3,1,1,1,1,5,5,1,5,5,5,4,4,2,1,4,3,2,2,1,3,4,4,2,2.25,4.5,3.857142857,5,2,1,4.166666667,2.6,1,3,White,B,B,Senior,3,Health Studies,Health Studies,21
18,4,2,3,4,4,1,4,2,3,3,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,3,4,5,4,4,3,3,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2.5,2,4,3.6,3,4.333333333,3,1,3,White,B,B,Senior,3,Health Science,Health Studies,22
19,1,4,4,2,4,3,3,3,3,2,4,3,3,2,2,2,3,3,2,4,3,2,NA,3,3,2,3,3,3,2,4,2,4,4,3,3,2,3,5,3,3,4,5,5,5,5,5,5,2.5,3,2.428571429,3,2.8,2.75,3.166666667,4.1,1,3,White,1,A,3,3,1,Psychology,20
20,4,2,2,4,5,1,1,4,2,2,2,2,3,2,2,1,5,1,2,5,5,NA,5,2,1,1,1,1,4,2,2,2,4,4,4,4,5,5,5,1,2,5,5,5,5,5,5,1,3.875,2,2.285714286,5,1.2,3.5,4.333333333,4.9,2,3,White,1,A,3,3.5,4,Double Major,21
